"Babosa","Aloe vera","Suculenta","Gel interno das folhas","Medicinal, sucos (uso controlado)"
"Bacupari","Garcinia gardneriana","Árvore frutífera","Fruto","Sucos, consumo in natura"
"Baga-de-macaco","Posoqueria acutifolia","Arbusto nativo","Fruto","Pouco documentado"
"Baleeira","Varronia curassavica","Arbusto medicinal","Folhas","Medicinal, infusões"
"Bambu-chinês-grande","Dendrocalamus latiflorus","Gramínea lenhosa","Brotos","Culinária asiática"
"Bambu-gigante","Dendrocalamus asper","Gramínea lenhosa","Brotos","Refogados, conservas"
"Bambuí","Phyllostachys aurea","Gramínea lenhosa","Brotos","Cozidos, conservas"
"Bardana","Arctium lappa","Herbácea medicinal","Raiz","Refogados, medicinal"
"Batata-colombiana (Mashua)","Tropaeolum tuberosum","Tuberosa andina","Tubérculo","Assado, cozido, medicinal"
"Beldroega","Portulaca oleracea","Planta rasteira","Folhas, talos","Saladas, refogados"
"Beldroegão","Talinum paniculatum","Herbácea","Folhas","Refogados, sopas"
"Biribá","Annona mucosa","Árvore frutífera","Fruto","In natura, sucos"
"Bertalha","Anredera cordifolia","Trepadeira","Folhas, brotos","Refogados, caldos"
"Boca-de-leão","Antirrhinum majus","Ornamental comestível","Flores","Saladas, decoração comestível"
"Borboleteira","Rotheca myricoides","Arbusto ornamental","Pouco documentado","Ornamental"
"Brinco-de-princesa","Fuchsia hybrida","Ornamental frutífera","Fruto, flores","In natura, decoração comestível"
"Bromélia-chup-chup","Aechmea nudicaulis","Bromélia","Fruto (com moderação)","Fruto silvestre"
"Bucha","Luffa cylindrica","Trepadeira tropical","Fruto jovem","Refogado, sopa (antes de fibroso)"
"Butiá-da-praia","Butia catarinensis","Palmeira","Fruto","Sucos, sorvetes, geleias"
"Cabeludinha","Myrciaria glazioviana","Arbusto frutífero","Fruto","In natura, sucos, doces"
"Cacto-macarrão","Rhipsalis teres","Cactácea epífita","Frutos","In natura, geleias"
"Cacto-pé-de-mamão","Brasiliopuntia brasiliensis","Cactácea","Fruto","Consumo in natura (com moderação)"
"Cajá-manga","Spondias dulcis","Árvore frutífera","Fruto","Sucos, doces"
"Calabura","Muntingia calabura","Árvore frutífera","Fruto","In natura, doces"
"Calêndula","Calendula officinalis","Erva ornamental","Flores","Chás, saladas, cosméticos"
"Cambucá","Plinia edulis","Árvore frutífera","Fruto","In natura, sucos"
"Cambuci","Campomanesia phaea","Árvore frutífera","Fruto","Sucos, geleias"
"Campari","Dovyalis hebecarpa","Arbusto frutífero","Fruto","In natura, conservas, sucos"
"Cana-do-brejo-biri","Canna indica","Rizomatosa","Rizoma (cozido)","Alimentício em algumas culturas"
"Cana-do-brejo","Costus spiralis","Herbácea rizomatosa","Brotos, rizomas","Alimentício e medicinal"
"Capim-cidreira","Elionurus muticus","Gramínea aromática","Folhas","Chás, infusões"
"Capuchinha","Tropaeolum majus","Trepadeira ornamental","Flores, folhas, sementes","Saladas, decoração comestível"
"Cará-da-terra","Dioscorea alata","Rizomatosa","Tubérculo","Cozido, sopas, purês"
"Cará-moela","Dioscorea bulbifera","Trepadeira tuberosa","Tubérculo (processado)","Cozido após tratamento"
"Caraguatá","Bromelia antiacantha","Bromélia","Fruto","Sucos, consumo regional"
"Caruru","Amaranthus viridis","Herbácea","Folhas, talos","Refogado, saladas"
"Castanha-do-Maranhão","Pachira glabra","Árvore","Sementes (castanhas)","Assadas, farofas"
"Cereja-da-mata-atlântica","Eugenia involucrata","Arbusto frutífero","Fruto","Sucos, doces"
"Cereja-de-Joinville","Eugenia candolleana","Arbusto frutífero","Fruto","In natura, conservas"
"Chal-chal","Allophylus edulis","Arbusto/pequena árvore","Fruto","In natura, consumo regional"
"Chaya","Cnidoscolus aconitifolius","Arbusto","Folhas (cozidas)","Refogado, rica em proteína vegetal"
"Cidra","Citrus medica","Árvore frutífera","Casca, polpa","Doces, licores, conservas"
"Clitória","Clitoria ternatea","Trepadeira ornamental","Flores","Chás, corante natural azul"
"Coentrão","Eryngium coronatum","Erva aromática","Folhas","Substituto de coentro tradicional"
"Cosmos","Cosmos sulphureus","Ornamental comestível","Flores","Saladas, decoração comestível"
"Costela-de-adão","Monstera deliciosa","Trepadeira tropical","Fruto maduro","In natura (somente quando maduro)"
"Cravínea-comum","Dianthus caryophyllus","Ornamental comestível","Flores","Saladas, decoração"
"Crepe-do-japão","Youngia japonica","Erva daninha comest.","Folhas","Refogados, medicinal leve"
"Dama-da-noite","Epiphyllum oxypetalum","Cactácea epífita","Flores (raramente usadas)","Decoração, chás (com moderação)"
"Dente-de-leão","Taraxacum officinale","Erva silvestre","Folhas, flores, raízes","Saladas, chás, refogados"
"Erva-de-jabuticaá","Drymaria cordata","Erva rasteira","Folhas","Refogados, usos medicinais leves"
"Ervilha-forrageira","Vicia sativa","Trepadeira leguminosa","Vagens jovens (com cuidado)","Uso forrageiro, experimental"
"Espinafre-amazônico","Alternanthera sessilis","Herbácea comestível","Folhas, talos","Refogados, sopas"
"Estévia-asteca","Lippia dulcis","Erva medicinal","Folhas","Adoçante natural"
"Feijão-caupi","Vigna unguiculata","Leguminosa trepadeira","Vagens, sementes","Cozido, saladas, farofas"
"Feijão-guandu","Cajanus cajan","Arbusto leguminoso","Sementes, folhas jovens","Ensopados, sopas"
"Figueira-da-pedra","Ficus enormis","Figueira nativa","Fruto","In natura (com moderação)"
"Fruta-do-sabiá","Vassobia breviflora","Arbusto silvestre","Fruto","Pouco documentado"
"Funcho (erva-doce)","Foeniculum vulgare","Erva aromática","Folhas, sementes","Chás, tempero"
"Gerânio","Pelargonium graveolens","Arbusto aromático","Folhas","Chás, aromatizante"
"Gervão-roxo","Stachytarpheta cayennensis","Arbusto medicinal","Folhas, flores","Chás medicinais, anti-inflamatório"
"Goiaba-serrana (Feijoa)","Feijoa sellowiana","Arbusto frutífero","Fruto, flores","Sucos, sobremesas, saladas"
"Grumixama","Eugenia brasiliensis","Árvore frutífera","Fruto","In natura, sucos, doces"
"Guabiju","Myrcianthes pungens","Arbusto/pequena árvore","Fruto","Sucos, consumo direto"
"Guabiroba-crespa","Campomanesia reitziana","Arbusto nativo","Fruto","Sucos, doces regionais"
"Guabiroba-da-praia","Campomanesia littoralis","Arbusto nativo","Fruto","In natura, compotas"
"Guabiroba-lisa","Campomanesia xanthocarpa","Arbusto nativo","Fruto","In natura, sucos, vinagres"
"Guamirim","Eugenia catharinensis","Arbusto frutífero","Fruto","Sucos, geleias"
"Hibisco (ornamental)","Hibiscus rosa-sinensis","Arbusto ornamental","Flores (com moderação)","Decoração comestível, saladas"
"Hibisco (vinagreira)","Hibiscus sabdariffa","Arbusto comestível","Cálices florais","Chás, geleias, sucos"
"Hidrocotile","Hydrocotyle bonariensis","Rasteira medicinal","Folhas","Chás, medicinais"
"Ingá-de-metro","Inga edulis","Árvore leguminosa","Polpa do fruto","In natura, sucos"
"Ingá-feijão","Inga marginata","Árvore nativa","Polpa do fruto","Consumo direto"
"Ingá-ferradura","Inga sessilis","Árvore nativa","Polpa do fruto","Alimentação regional"
"Inhame-de-porco","Colocasia esculenta v. antiquorum","Rizomatosa","Rizoma (tubérculo)","Cozido, sopas"
"Inhame-taro","Colocasia esculenta","Rizomatosa","Tubérculo, folhas","Cozidos, refogados"
"Ipê-amarelo","Tabebuia alba (erro de listagem como Colocasia)","Árvore ornamental","Não comestível","Ornamental (corrigir em base)"
"Ipê-rosa","Handroanthus heptaphyllus","Árvore ornamental","Não comestível","Ornamental (corrigir em base)"
"Iresine","Iresine diffusa","Erva ornamental","Folhas (com moderação)","Refogados, valor ornamental"
"Jaborandi","Piper gaudichaudianum","Arbusto medicinal","Folhas (medicinal)","Chás medicinais (uso com cautela)"
"Jambolão","Syzygium cumini","Árvore frutífera","Fruto","In natura, sucos, vinhos"
"Jambu-miúdo","Acmella ciliata","Erva amazônica","Folhas, flores","Tacacá, saladas, refogados"
"Jambu","Acmella oleracea","Erva amazônica","Folhas, flores","Pratos típicos amazônicos"
"Jaracatiá","Vasconcellea quercifolia","Árvore frutífera","Fruto, tronco (doce)","Doces cristalizados"
"Jasmim-manga","Plumeria rubra","Árvore ornamental","Não comestível","Ornamental (excluir de base comestível)"
"Jerivá","Syagrus romanzoffiana","Palmeira","Fruto, palmito","In natura, palmito"
"Juçara","Euterpe edulis","Palmeira nativa","Fruto, palmito (sustentável)","Polpa similar ao açaí"
"Lab-lab","Lablab purpureus","Trepadeira leguminosa","Vagens, sementes","Refogados, sopas, brotos"
"Lágrima-de-nossa-senhora","Coix lacryma-jobi","Gramínea","Sementes","Ornamental, medicinais leves"
"Lanterninha-chinesa","Callianthe striata","Arbusto ornamental","Flores","Comestível, decoração leve"
"Língua-de-vaca","Rumex obtusifolius","Erva rasteira","Folhas jovens","Refogados, sopas"
"Lírio-do-brejo","Hedychium coronarium","Herbácea rizomatosa","Brotos (pouco usado)","Potencial ornamental/comestível"
"Lulo","Solanum quitoense","Arbusto frutífero","Fruto","Sucos, sobremesas"
"Malvavisco","Malvaviscus arboreus","Arbusto ornamental","Flores, folhas","Chás, saladas, ornamentais comestíveis"
"Maracujá-do-mato","Passiflora caerulea","Trepadeira frutífera","Fruto","Sucos, consumo in natura"
"Maracujá-doce","Passiflora alata","Trepadeira frutífera","Fruto","Sucos, doces"
"Maracujazinho","Passiflora suberosa","Trepadeira frutífera","Fruto (com cautela)","Experimental, sucos"
"Maracujina","Passiflora elegans","Trepadeira ornamental","Fruto","Sucos, ornamentais"
"Maria-sem-vergonha","Impatiens walleriana","Erva ornamental","Flores (com moderação)","Decoração comestível, experimental"
"Mastruz","Coronopus didymus","Erva medicinal","Folhas","Chás, uso tradicional"
"Melão-andino","Solanum muricatum","Arbusto frutífero","Fruto","In natura, saladas"
"Melissa","Lippia alba","Erva aromática","Folhas","Chás calmantes"
"Mil-folhas","Achillea millefolium","Erva medicinal","Folhas, flores","Chás medicinais"
"Morango-ornamental","Potentilla indica","Planta rasteira","Fruto (não saboroso)","Ornamental, consumo eventual"
"Moringa","Moringa oleifera","Árvore","Folhas, vagens, sementes","Refogados, farinhas, sucos verdes"
"Nabo-forrageiro","Raphanus sativus","Hortaliça forrageira","Raiz, folhas jovens","Saladas, refogados, cobertura verde"
"Nirá","Allium tuberosum","Hortaliça aromática","Folhas","Refogados, omeletes, temperos"
"Nogueira (candlenut)","Aleurites moluccanus","Árvore oleaginosa","Sementes (após preparo)","Farinhas, óleos (uso com cautela)"
"Ora-pro-nóbis","Pereskia aculeata","Cactácea trepadeira","Folhas","Refogados, proteínas vegetais"
"Ora-pro-nóbis-rosa","Pereskia grandifolia","Cactácea trepadeira","Folhas","Refogados, sopas"
"Pariparoba-lisa","Piper regnellii","Arbusto sombreado","Folhas","Medicinal, aromática"
"Pega-pinto","Stellaria media","Erva rasteira","Folhas, talos","Saladas, refogados"
"Peixinho-da-horta","Stachys byzantina","Herbácea ornamental","Folhas (empanadas)","Frituras tipo ""peixe vegetal"""
"Pepinículo","Melothria pendula","Trepadeira rasteira","Fruto jovem","Saladas, picles"
"Pepino-doce","Coccinia grandis","Trepadeira tropical","Fruto","Refogados, consumo regional"
"Pêra-asiática","Pyrus pyrifolia","Árvore frutífera","Fruto","In natura, sobremesas"
"Perpétua","Gomphrena globosa","Erva ornamental","Flores (secas)","Chás, ornamentais"
"Picão-branco","Galinsoga parviflora","Herbácea espontânea","Folhas, flores","Saladas, refogados"
"Picão-preto","Bidens pilosa","Erva espontânea","Folhas, talos","Chás, refogados, sucos verdes"
"Pimenta-de-galinha","Capsicum praetermissum","Arbusto frutífero","Fruto","Conservas, molhos"
"Pimenta-de-passarinho","Capsicum praetermissum","Arbusto nativo","Fruto","Picante, usada in natura ou desidratada"
"Pitanga","Eugenia uniflora","Arbusto/árvore frutífera","Fruto, folhas","Sucos, doces, chás"
"Pixirica (1)","Leandra australis","Arbusto nativo","Fruto (pouco documentado)","Experimental"
"Pixirica (2)","Leandra regnellii","Arbusto nativo","Fruto","Pouco documentado"
"Porongo","Lagenaria siceraria","Trepadeira tropical","Fruto jovem","Cozido, sopa (antes de endurecer)"
"Saião","Kalanchoe pinnata","Suculenta medicinal","Folhas","Chás, uso medicinal (uso moderado)"
"Salicornia","Salicornia fruticosa","Halófita costeira","Talos","Crua, refogada, culinária gourmet"
"Serralha-de-espinho","Sonchus asper","Erva espontânea","Folhas jovens","Refogados, saladas"
"Serralha","Sonchus oleraceus","Erva espontânea","Folhas, talos","Refogados, sopas"
"Sabugueiro","Sambucus australis","Arbusto medicinal","Flores, frutos (com preparo)","Chás, geleias, xaropes"
"Taboa","Typha domingensis","Planta aquática","Brotos, rizomas","Farinha, refogados (em culturas específicas)"
"Tagetes","Tagetes erecta","Flor ornamental","Flores (com moderação)","Saladas, chás, ornamentais comestíveis"
"Taioba-roxa","Xanthosoma violaceum","Herbácea rizomatosa","Folhas (cozidas)","Refogados, tortas, bolinhos"
"Taioba","Xanthosoma taioba","Herbácea rizomatosa","Folhas (cozidas)","Refogados, pratos regionais"
"Tamarilho","Solanum betaceum","Arbusto frutífero","Fruto","Sucos, molhos, in natura"
"Tansagem","Plantago major","Erva medicinal","Folhas","Chás, refogados"
"Tomate-de-árvore-verde","Solanum corymbiflorum","Arbusto nativo","Fruto","Sucos, consumo direto (com moderação)"
"Trevinho-batateiro","Oxalis tuberosa","Herbácea rizomatosa","Raiz, folhas","Assados, saladas, com moderação"
"Trevinho-falso","Oxalis latifolia","Herbácea rasteira","Folhas","Saladas (uso moderado)"
"Tucum","Bactris setosa","Palmeira nativa","Fruto, polpa","Óleo, farinha, uso tradicional"
"Tumbérgia","Thunbergia grandiflora","Trepadeira ornamental","Flores","Experimental, saladas decorativas"
"Tupinambor","Helianthus tuberosus","Herbácea rizomatosa","Tubérculo","Assados, purês, chips"
"Urtiga-de-jardim","Laportea aestuans","Erva urticante comestível","Folhas (cozidas)","Refogados, sopas"
"Urtiga-europeia","Urtica dioica","Erva urticante","Folhas (cozidas)","Chás, refogados, sopas"
"Urtiga (nativa)","Boehmeria caudata","Erva silvestre","Folhas (cozidas)","Refogados, infusões"
"Urtigão","Urera baccifera","Arbusto urticante","Folhas (cozidas)","Alimentação tradicional local"
"Uva-do-japão","Hovenia dulcis","Árvore frutífera","Fruto, pedúnculo","In natura, doces, bebidas"
"Uvaia","Eugenia pyriformis","Árvore frutífera","Fruto","Sucos, geleias, doces"
"Vinagreira","Hibiscus acetosella","Arbusto comestível","Folhas, flores","Refogados, chás, sucos ácidos"
"Yacon","Smallanthus sonchifolius","Rizomatosa","Raiz","In natura, saladas, sucos"
"Zedoária","Curcuma zedoaria","Rizomatosa medicinal","Rizoma","Chás, condimentos, uso terapêutico"
"Nome Popular","Nome Científico","Tipo de Planta","Parte Comestível","Uso Principal"
"Abóbora","Cucurbita pepo","Trepadeira","Flores, brotos","Refogados, fritos, sopas"
"Açafrão-da-terra","Curcuma longa","Rizomatosa","Rizoma","Condimento, corante natural"
"Amoreira","Morus nigra","Árvore frutífera","Fruto, folhas","Sucos, geleias, chás"
"Bananeira","Musa paradisiaca","Herbácea tropical","Fruto, flor (mangará)","Cozidos, refogados, frituras"
"Beldroega-graúda","Talinum fruticosum","Herbácea","Folhas, talos","Saladas, refogados"
"Caruru","Amaranthus deflexus","Herbácea espontânea","Folhas, sementes","Refogados, pães, sopas"
"Chanana","Turnera subulata","Subarbusto","Flores","Saladas, decoração comestível"
"Melão-de-São-Caetano","Momordica charantia","Trepadeira","Fruto, folhas","Refogados, chás, medicinais"
"Macelinha","Achyrocline satureioides","Herbácea nativa","Flores, folhas (chás)","Medicinal, anti-inflamatória"
"Alho Nirá","Allium tuberosum","Hortaliça","Folhas","Temperos, refogados"
"Babosa folha fina","Aloe arborescens","Suculenta","Gel interno","Medicinal, cicatrizante"
"Babosa","Aloe vera","Suculenta","Gel interno","Cosméticos, medicinal"
"Perpétua do mato","Alternanthera brasiliana","Herbácea","Folhas","Medicinal, anti-inflamatória, sucos verdes"
"Losna","Artemisia absinthium","Herbácea","Folhas","Chás, vermífugo (com cautela)"
"Carqueja","Baccharis trimera","Herbácea","Talos, folhas (chás)","Medicinal, hepatoprotetor"
"Aranto","Bryophyllum daigremontianum","Suculenta","Folhas (uso limitado)","Cicatrizante, ornamentação medicinal"
"Erva de Santa Maria","Chenopodium ambrosioides","Herbácea","Folhas","Vermífugo tradicional"
"Insulina (uva-do-mato)","Cissus verticillata","Trepadeira","Folhas","Medicinal, uso em diabetes"
"Açafrão-da-terra","Curcuma longa","Rizomatosa","Rizoma","Condimento, anti-inflamatório"
"Capim-cidreira","Cymbopogon citratus","Gramínea aromática","Folhas","Chás calmantes"
"Avelós","Euphorbia tirucalli","Arbustiva medicinal","Látex (com cautela extrema)","Medicinal tradicional"
"Camomila","Matricaria chamomilla","Herbácea","Flores","Chás calmantes"
"Poejo","Mentha pulegium","Erva aromática","Folhas","Chás digestivos"
"Melissa","Melissa officinalis","Erva aromática","Folhas","Chás calmantes, sucos"
"Hortelã","Mentha sp.","Hortaliça aromática","Folhas","Chás, temperos"
"Guaco","Mikania glomerata","Herbácea medicinal","Folhas","Expectorante natural"
"Manjericão / Alfavaca","Ocimum basilicum","Erva aromática","Folhas","Temperos, chás"
"Manjerona","Origanum majorana","Erva aromática","Folhas","Condimento"
"Orégano","Origanum vulgare","Erva aromática","Folhas","Condimento, chás"
"Guiné","Petiveria alliacea","Herbácea medicinal","Raiz, folhas","Rituais, chás medicinais"
"Quebra-pedra","Phyllanthus niruri","Herbácea silvestre","Parte aérea","Chá para rins e fígado"
"Tanchagem","Plantago major","Herbácea espontânea","Folhas","Anti-inflamatório, cicatrizante"
"Boldo brasileiro","Plectranthus barbatus","Arbusto medicinal","Folhas","Chás digestivos"
"Alecrim","Rosmarinus officinalis","Erva aromática","Folhas","Chás, temperos"
"Arruda","Ruta graveolens","Arbusto (com cautela)","Folhas","Medicinal, ritualístico"
"Bálsamo","Sedum dendroideum","Suculenta medicinal","Folhas","Anti-inflamatório, digestivo leve"
"Arnica brasileira","Solidago chilensis","Erva medicinal nativa","Parte aérea","Uso externo, compressas"
"Stevia","Stevia rebaudiana","Erva adoçante natural","Folhas","Adoçante natural"
"Capuchinha","Tropaeolum majus","Trepadeira ornamental","Flores, folhas, sementes","Saladas, decoração comestível, antibiótica"
"Gengibre","Zingiber officinale","Rizomatosa","Rizoma","Condimento, sucos, medicinal"
